date,open,high,low,close,volume,symbol,daily_return,log_return,cumulative_return,price_change,hl_range,avg_price,volume_change,rolling_mean_20,rolling_std_20,rolling_volume_20,sma_10,sma_20,sma_50,sma_200,ema_10,ema_20,ema_50,rsi_14,macd_line,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,bb_bandwidth,bb_percent_b,atr_14,stoch_k,stoch_d,vwap,sma_position,sma_signal,rsi_signal,macd_position,macd_trade_signal,bb_signal,combined_buy_score,combined_sell_score,combined_signal
2020-01-02 00:00:00-05:00,71.4097927692221,72.46079141879511,71.15668916006118,72.40052795410156,135480400,AAPL,,,,,1.3041022587339341,72.00600284431928,,,,,,,,,72.40052795410156,72.40052795410156,72.40052795410156,,0.0,0.0,0.0,,,,,,,,,72.00600284431928,0,0,0,0,0,0,0,0,0
2020-01-03 00:00:00-05:00,71.62912999102163,72.45594269937853,71.47244650368873,71.69662475585938,146322800,AAPL,-0.009722348968068673,-0.009769919586008823,-0.009722348968068673,-0.7039031982421875,0.9834961956897956,71.87500465297553,0.08002928836938783,,,,,,,,72.27254555442116,72.33348955426898,72.37292390711167,,-0.056151822082000535,-0.011230364416400108,-0.04492145766560043,,,,,,,,,71.9379836658559,0,0,0,0,0,0,0,1,0
2020-01-06 00:00:00-05:00,70.81918573286022,72.30648330246464,70.56848776436438,72.26791381835938,118387200,AAPL,0.007968144448156966,0.007936566419797071,-0.0018316736008646695,0.5712890625,1.7379955381002645,71.71429496172946,-0.19091761502650306,,,,,,,,72.27170342059173,72.32724424608712,72.3688058644155,,-0.05393259141027329,-0.019770809815174747,-0.03416178159509854,,,,,,,,,71.87181046591618,0,0,0,0,0,0,0,1,0
2020-01-07 00:00:00-05:00,72.27758611058375,72.53310260522755,71.70870255084994,71.92806243896484,108872000,AAPL,-0.004702659333002512,-0.004713751624578386,-0.006525719196913027,-0.33985137939453125,0.8244000543776195,72.05662253168077,-0.08037355389771872,,,,,,,,72.2092232421141,72.2892269311231,72.35152180851549,,-0.07868991284240678,-0.031554630420621156,-0.04713528242178563,,,,,,,,,71.91133579566734,0,0,0,0,0,0,0,1,0
2020-01-08 00:00:00-05:00,71.63155170295238,73.38642316119072,71.63155170295238,73.0851058959961,132079200,AAPL,0.016086120184497732,0.015958109525148405,0.009455427484292844,1.15704345703125,1.7548714582383411,72.7010269200464,0.21316040855316332,,,,,,,,72.36847463372901,72.36502492777767,72.3802898119461,,-0.0048901605506586066,-0.026221736446628646,0.02133157589597004,,,,,,,,,72.07401713151435,0,0,0,1,1,0,1,0,0
2020-01-09 00:00:00-05:00,74.06138234642438,74.83034471463299,73.81069163960515,74.63750457763672,170108400,AAPL,0.021240971913617734,0.02101852692153685,0.03089724186753573,1.552398681640625,1.0196530750278328,74.42618031062496,0.2879272436538076,,,,,,,,72.78102553262131,72.58145156109758,72.46880803805162,,0.17682395799172923,0.014387402441042927,0.1624365555506863,,,,,,,,,72.56723465377927,0,0,0,1,0,0,1,0,0
2020-01-10 00:00:00-05:00,74.87130260503702,75.37028567561227,74.30482477296201,74.80621337890625,140644800,AAPL,0.002260375694822958,0.002257824888812183,0.03322745693691309,0.16870880126953125,1.0654609026502584,74.82710794249351,-0.17320485055411727,,,,,,,,73.14924150467311,72.79333363898412,72.56047099259494,,0.3306357334980987,0.0776370686524541,0.2529986648456446,,,,,,,,,72.9011364953657,0,0,0,1,0,0,1,0,0
2020-01-13 00:00:00-05:00,75.12200317385458,76.43092342751396,75.00388181987825,76.40440368652344,121532000,AAPL,0.02136440591534927,0.021139386293808727,0.05530174772979746,1.5981903076171875,1.427041607635715,75.94640297797189,-0.1358941105536785,,,,,,,,73.74108917410044,73.1372450720831,72.71121345118037,,0.5748665709440672,0.17708296911077673,0.39778360183329053,,,,,,,,,73.24591764501102,0,0,0,1,0,0,1,0,0
2020-01-14 00:00:00-05:00,76.34173684913497,76.55145246560595,75.24976349452105,75.37269592285156,161954400,AAPL,-0.013503249994657684,-0.013595247994896515,0.041051744410402824,-1.031707763671875,1.3016889710849,75.72463729432619,0.3326070499950631,,,,,,,,74.03774494660064,73.35014515310867,72.81558531281453,,0.6773628576422226,0.2771389468170659,0.4002239108251567,,,,,,,,,73.57086961414657,0,0,0,1,0,0,1,0,0
2020-01-15 00:00:00-05:00,75.17263768221467,76.05248268254357,74.61820946436237,75.04969787597656,121923600,AAPL,-0.004285345547485941,-0.004294553957612428,0.036590477952791245,-0.322998046875,1.434273218181204,75.2401300076275,-0.2471732784042916,,,,73.76487503051757,,,,74.22173638830535,73.51200731719133,72.90319757019344,,0.7241807553599671,0.36654730852564615,0.3576334468343209,,,,,,,,,73.72081547487778,0,0,0,1,0,0,1,0,0
2020-01-16 00:00:00-05:00,75.5920621906251,76.10068954693726,75.23048148138665,75.98979949951172,108829200,AAPL,0.012526387848872167,0.012448581731907396,0.04957521232007567,0.9401016235351562,0.8702080655506137,75.77365684261189,-0.10739840359044517,,,,74.1238021850586,,,,74.54320240852468,73.74798752503138,73.02424078310789,,0.8276025340207269,0.45875835362466233,0.3688441803960646,,,,,,,,,73.87319519172318,0,0,0,1,0,0,1,0,0
2020-01-17 00:00:00-05:00,76.23811023432756,76.83351362979406,75.93197444596949,76.83110809326172,137816400,AAPL,0.011071335880487476,0.011010497272642824,0.061195412027505114,0.84130859375,0.9015391838245677,76.53219872300842,0.26635498561047943,,,,74.63725051879882,,,,74.95918526029504,74.04161805533903,73.17352969723157,,0.966312561429902,0.5602691951857103,0.4060433662441917,,,,,,,,,74.10166503360172,0,0,0,1,0,0,1,0,0
2020-01-21 00:00:00-05:00,76.45986173724447,76.90098699093934,76.1730071029982,76.31040954589844,110843200,AAPL,-0.006777183881445881,-0.006800253281584605,0.054003495586048,-0.5206985473632812,0.7279798879411459,76.46146787994532,-0.19571836153026778,,,,75.04150009155273,,,,75.20486240313203,74.25769343539231,73.29654459325772,,1.0224391938106265,0.6527031949106935,0.369735998899933,,,,,,,,,74.25420123321072,0,0,0,1,0,0,1,0,0
2020-01-22 00:00:00-05:00,76.79490770076272,77.13479440317133,76.48877205760677,76.5827865600586,101832400,AAPL,0.003569329738642324,0.003562974798678829,0.057765581607476246,0.27237701416015625,0.6460223455645604,76.73545100694555,-0.08129321419807445,,,,75.50697250366211,,,,75.45539406802776,74.47913087583672,73.42541682724992,70.82054340306935,1.0764894032862458,0.737460436585804,0.3390289667004418,,,,,,1.1825193243281384,91.59332828213718,,74.39328964186438,0,0,0,1,0,0,1,1,0
